song_name,artist,album
Upside Down,Diana Ross,Upside Down Remix '93
24K Magic,Bruno Mars,24K Magic
Ain't Nobody,Rufus,Stompin' At The Savoy
STARS,¥$,VULTURES 1
White Dress,Kanye West,The Man with the Iron Fists (Original Motion Picture Soundtrack)
Judas,Lady Gaga,Born This Way
Cheerleader,Porter Robinson,SMILE! :D
Stateside + Zara Larsson,PinkPantheress,Fancy Some More?
The Let Out,J. Cole,The Fall-Off
Tequila Shots,Kid Cudi,Man On The Moon III: The Chosen
"Givin’ Up (Not The One) (Don Toliver & 21 Savage, 2 Chainz)",Don Toliver,METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE)
ESCAPE PLAN,Travis Scott,ESCAPE PLAN / MAFIA
FATHER (feat. Travis Scott),Kanye West,BULLY
Lifestyle,Rich Gang,Lifestyle
Deja Vu - feat. DJ Drama,Logic,Ultra 85
4 Raws,EsDeeKid,Rebel
WALKING AWAY,Justin Bieber,SWAG II
FIRST PLACE,Justin Bieber,SWAG II
WAY IT IS,Justin Bieber,SWAG II
BUTTERFLIES,Justin Bieber,SWAG II
THINGS YOU DO,Justin Bieber,SWAG II
GO BABY,Justin Bieber,SWAG II
YUKON,Justin Bieber,SWAG II
DAISIES,Justin Bieber,SWAG II
ALL I CAN TAKE,Justin Bieber,SWAG II
ALL I CAN TAKE,Justin Bieber,SWAG II
SPEED DEMON,Justin Bieber,SWAG II
Black or White,Michael Jackson,Dangerous
Dirty Diana - 2012 Remaster,Michael Jackson,Bad (Remastered)
The Girl Is Mine (with Paul McCartney),Michael Jackson,Thriller
The Girl Is Mine (with Paul McCartney),Michael Jackson,Thriller
Fade Into Darkness - Vocal Radio Mix,Avicii,Fade Into Darkness
Echo,The Chainsmokers,Echo
DNCR,Kaskade,undux
Lights Burn Dimmer,Fred again..,USB
Trigger Finger,James Hype,Trigger Finger
neck,Mau P,neck
Cthulhu Sleeps,deadmau5,4x4=12
If U Want My Heart,KETTAMA,Archangel
solo - KETTAMA remix,KETTAMA,solo (KETTAMA remix)
Yosemite,KETTAMA,Archangel
Pretty Green Eyes (Sunset Ibiza Mix),KETTAMA,Pretty Green Eyes (Sunset Ibiza Mix)
Finished Symphony - Deadmau5 Remix,Hybrid,Hybrid Re_mixed
Into The Night,Tonic Walter,Into The Night
Regal,Polar Inc.,"Root to Branch, Vol. 5"
Rust,Ben Böhmer,Bloom
HR 8938 Cephei,deadmau5,HR 8938 Cephei
DAISIES,Justin Bieber,SWAG II
ALL I CAN TAKE,Justin Bieber,SWAG II
ALL I CAN TAKE,Justin Bieber,SWAG II
